unique_id,metric,Naive,WindowAverage,RWD,AutoARIMA,AutoETS,SeasonalNaive,SeasWA,Best-Fit,Equal-All,Equal-Best3,InverseMSE,InverseMSE-Best3
store_52,mse,26545096.597222224,15502248.965277778,31199398.32712928,936355.9589026053,15576076.316844262,19989513.611111112,,936355.9589026053,24179785.252231915,7712374.130052113,1594357.2306731222,1241973.0995643684
store_53,mse,338416962.9444444,216801911.56944445,400598315.5368354,11594900.166893043,210705168.86297157,222642171.7638889,,11594900.166893043,326264560.94744724,107530490.32530186,21036460.51230201,16117555.922241168
store_54,mse,64069615.11111111,41523621.30381945,73777584.07446325,1723393.8145185702,41101768.722224206,52665202.81944445,,1723393.8145185702,53014567.16233163,20357853.348404128,3160517.5351959886,2336223.485208038
store_55,mse,137567496.8611111,90407221.7986111,155869766.18079835,2584250.3981842413,88780277.65932554,99491906.625,,2584250.3981842413,138479358.82193306,43305581.43058544,4454538.028253007,3374650.1585717606
store_56,mse,72883508.29166667,65951460.942708336,88312445.96387917,3018348.38183939,67748035.05790964,144440185.0972222,,3018348.38183939,67239284.703371,33470797.46084835,5405204.539272627,4202998.9109520875
store_57,mse,126176972.65277778,73327811.55034722,147120937.2517757,1935303.6804704452,76424911.60430618,83958659.55555555,,1935303.6804704452,89144688.9054901,36007439.25613229,3307122.3092039637,2547631.9992904877
store_58,mse,97729704.44444445,61257650.447916664,116382877.41041726,3210929.437260924,57085541.17321002,63799763.958333336,,3210929.437260924,79532347.32268392,29368416.327255532,5649664.637644807,4287761.910499025
store_59,mse,148801602.7638889,87294725.22569445,173091741.27436322,4061270.8839602224,85446198.81224275,116838228.91666667,,4061270.8839602224,109079551.4830304,40034472.697149545,5275100.803081463,4576466.372711154
store_6,mse,40574752.833333336,25163896.793402776,47676158.62947675,1491761.3969834154,25530004.259011615,30094242.305555556,,1491761.3969834154,46544734.51069772,12272190.142019037,2498373.955323164,1892389.5351402457
store_60,mse,63530936.30555555,40593995.45138889,71351352.67400369,2399193.699128583,40114726.84679004,49948123.347222224,,2399193.699128583,59740497.907456666,20746404.12419249,4873255.770004179,3540668.8776364303
store_61,mse,116724284.80555555,81019876.48784722,129978921.14222854,10306511.69192411,79742514.44841202,80320794.1111111,,10306511.69192411,112808237.63024646,35900909.32846479,19867820.565985948,13227661.02421251
store_62,mse,234620754.33333334,146958321.6440972,277727589.3975369,6866185.546364272,134507394.31987408,194961230.41666666,,6866185.546364272,153272615.2926523,65049017.467112936,9343687.169064866,7667133.618528268
store_63,mse,51622655.68055555,36917210.340277776,55165908.55208072,5206459.534072479,43477154.985738315,127324897.05555555,,5206459.534072479,50720460.146475926,19566376.445872765,8432126.687728329,6390274.224145564
store_64,mse,60216497.30555555,34689819.02430555,72067225.62578481,1530248.4571274738,36491094.30501512,38728125.527777776,,1530248.4571274738,77798738.13781895,16657794.481841339,2277886.902732987,1796658.5057326723
store_65,mse,69528214.02777778,52486534.651041664,81031672.84656698,5920303.338114966,51681356.54713868,45543995.625,,5920303.338114966,83468272.17762503,21857592.38770736,11620454.7093328,7574314.052530683
store_66,mse,45158336.63888889,36597399.590277776,52173412.655097336,2829722.0348103503,36906244.5722891,24315192.388888888,,2829722.0348103503,42604146.53721937,12648832.625997182,5735577.469051421,3789150.440600128
store_67,mse,120649800.56944445,76381945.3732639,135689059.9235468,3739533.2051436743,73174626.89423096,76503343.65277778,,3739533.2051436743,98449826.34966786,37584717.45941092,7099185.474063121,5246940.690947375
store_68,mse,26518242.680555556,18471078.107638888,33245899.464989774,1283978.1959314537,19352560.46359458,16328894.222222222,,1283978.1959314537,48196685.59241573,7062506.904350836,2161761.682371155,1547747.0816779027
store_69,mse,31370273.777777776,16773631.260416666,37961625.62567252,960702.7141360183,16189457.69994462,18311429.430555556,,960702.7141360183,25765191.453482106,8164761.664114548,1638229.4483567677,1269306.5253137387
store_7,mse,182140042.7638889,176035009.6371528,203417022.0385221,17173078.010200303,165396466.7019485,129407053.18055555,,17173078.010200303,194019414.71354663,67433885.50295597,36148575.87397764,23576312.948344503
store_70,mse,191846200.7638889,119629501.18229167,216770148.92914107,5398565.571662676,116821605.89532605,137082523.45833334,,5398565.571662676,150085898.40211475,58709085.87946156,9953930.797838798,7426800.925665704
store_71,mse,63075107.652777776,44182469.277777776,72171112.35823762,3648589.622545376,44267992.48365458,43637169.458333336,,3648589.622545376,61530274.25903532,18365466.89198761,6437375.932051096,4535330.78367758
store_72,mse,101903275.125,60809489.078125,121393610.56621303,2006671.6085020949,59110170.013659865,69678696.30555555,,2006671.6085020949,90598586.32835144,28595667.883609816,2986696.884047555,2483738.3057356607
store_73,mse,133495111.79166667,130566995.98958333,140198530.40191686,8312408.149813967,140841017.36421004,122956078.3611111,,8312408.149813967,132328077.25436896,42383228.12829919,13671678.347359143,9724348.48232698
store_74,mse,20931088.305555556,12525846.942708334,26196019.955756832,1416485.795071436,13715794.434110034,18093555.652777776,,1416485.795071436,29753849.519790817,6762609.049822624,2401895.4561150223,1917066.363330146
store_75,mse,130785494.2638889,137248487.51041666,139679058.92324567,88311219.90010315,126611479.16703317,275905840.7222222,,88311219.90010315,146202840.94838452,92704646.4225876,99856497.98823807,88041891.18066168
store_76,mse,152853676.95833334,108125862.2638889,167781682.76888034,5910404.684784262,112559859.04032011,144520739.93055555,,5910404.684784262,150718990.4475952,55360416.42219956,11773305.384065794,8481746.863574142
store_77,mse,27267225.777777776,17702525.015625,31447340.160595912,1954390.9722879205,17706548.10318722,18354366.930555556,,1954390.9722879205,36359549.21412455,8888511.323530337,3404623.769560192,2488615.016326344
store_78,mse,71037145.7638889,39883188.109375,83365505.33601956,2116311.658987861,42099670.93394997,71845130.7361111,,2116311.658987861,50178797.49204525,18375969.480302565,2556420.802949661,2177527.1220801044
store_79,mse,70004975.52777778,46060074.97743055,82073012.07892898,1699140.8990500954,44876120.50995461,46371795.333333336,,1699140.8990500954,71892653.41757089,22280494.253888678,3025924.4300489565,2294109.7835123315
store_8,mse,174307207.20833334,113313964.16145833,201137461.23310858,6605869.681981962,113559446.02648643,118325985.02777778,,6605869.681981962,140468855.97090185,56383907.100868255,11576842.775759997,8832862.970066171
store_80,mse,87109678.84722222,65106455.03298611,99942671.89395739,5336761.304919501,62202771.1430674,61720245.458333336,,5336761.304919501,99103174.7466557,26348314.946897373,10203569.99876476,6728886.3335075015
store_81,mse,79878412.79166667,49609623.83506945,94873508.89206181,2499141.1081096358,48002570.28089372,57061833.69444445,,2499141.1081096358,65338394.02344043,23660437.918631207,3995767.2222391134,3152589.764778775
store_82,mse,24325739.013888888,16209127.288194444,29095885.164888456,797860.858298932,15182620.66786281,19718639.791666668,,797860.858298932,29407647.47846836,7906278.189117577,1434532.0332808136,1118570.8753217633
store_83,mse,132811710.3888889,76386140.81597222,149611833.1807911,2057219.8943656823,79008693.56868333,94539702.08333333,,2057219.8943656823,96905576.91511007,35877393.41920683,3033429.569329754,2385437.034172932
